Agreeable,Self.Kept,Married,Food.Insecurity,Nonanonymous.Play,Extraverted,Ill.This.Mo,Income.zscore,IG.Avg,OG.Avg,Can.Stay,log.Subj.SES,Prod.Income.Drop,Market.Items.zscore,Dependency,Population,Places.Lived,Can.Borrow,Risk.Aversion,Years.Education,Shortfall.Summary,No.Neg.Stereos,Coop.Labor,Media.zscore,Sex.Male,Times.Church.Mo,Version,Visited.zscore,Age
8,3,TRUE,0,FALSE,2,0,-1.833687084,3,3,1,1.609437912,0,-0.392966898,1,Intercultural,3,1,4,12,-2.147025698,,1,0.007783415,TRUE,1,F,1.233598249,30
4,21,TRUE,0,FALSE,6,0,-0.340137203,,0,0,1.791759469,0,1.640008356,3,Intercultural,2,2,6,3,-1.544148789,,0,0.792661368,FALSE,0,B,-0.788080217,30
8,6,FALSE,0.5,TRUE,4,0,-0.818792948,2,3,1,1.386294361,0,-0.598289389,1,Intercultural,5,1,8,3,-1.787832084,,1,-0.664969116,TRUE,0,A,0.335074486,60
14,3,TRUE,1.5,FALSE,10,0,0.16371095,,3,0,0.693147181,1,2.314845114,3,Intercultural,5,1,12,12,0.38515282,,0,-0.664969116,TRUE,,A,-0.563449276,40
4,4,TRUE,1.5,FALSE,3,0,0.977665645,2.333333333,3.333333333,1,0,0,-0.261366827,4,Intercultural,5,2,11,12,-0.165129492,0,1,0.792661368,FALSE,3,E,-0.788080217,30
9,3,TRUE,0.5,FALSE,8,0,-2.396917341,3,3,1,1.098612289,0,1.953047162,4,Intercultural,8,2,10,6,-0.883516721,,0,0.90478679,TRUE,0,F,1.233598249,50
3,9,TRUE,0.5,TRUE,10,0,0.69491086,2,2,1,1.098612289,0,-0.77290478,2,Intercultural,3,1,8,5,-1.486393629,1,0,0.232034259,FALSE,0,C,-0.114187395,30
8,4,TRUE,0.5,TRUE,4,1,-0.908765832,3,2.666666667,1,1.098612289,0,2.190474007,2,Intercultural,4,1,7,5,-1.486393629,,1,0.007783415,FALSE,3,B,0.784336368,50
8,5,TRUE,0,TRUE,2,0,0.710746088,3.666666667,,1,2.302585093,1,1.622940876,2,Intercultural,2,2,12,8,-0.993866478,,1,1.577539322,FALSE,2,C,-0.788080217,30
4,3,FALSE,0,TRUE,8,0,0.753933072,3,3,1,1.098612289,0,-0.145259952,0,Intercultural,2,2,12,8,-2.448464152,1,0,-0.188436073,TRUE,0,C,2.806014833,50
