RID,Order,Chose_R,Loc.SameValley_Diff,Loc.City_Diff,Wealth.High_Diff,Wealth.Med_Diff,Trust.Med_Diff,Trust.High_Diff,Good.Med_Diff,Good.High_Diff,Relig.Other_Diff,Pueblo.Other_Diff,Population,Version,Age,Sex,School_Yrs,NetIncome,Type,Nonanonymous_Play,Average_Given.Out
136,11,1,1,0,0,-1,0,0,0,1,-1,0,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
136,15,1,0,0,0,0,0,0,0,0,-1,0,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
136,13,1,0,1,1,0,0,0,-1,1,1,-1,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
136,10,1,-1,0,1,0,1,-1,1,-1,-1,-1,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
286,1,1,0,0,0,0,-1,1,0,1,-1,1,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,10,1,-1,0,1,0,1,-1,1,-1,1,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,11,1,1,0,0,-1,0,0,0,1,1,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,12,0,0,0,1,0,-1,1,0,0,0,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,13,0,0,1,1,0,0,0,-1,1,-1,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,14,0,0,1,0,0,1,-1,-1,1,0,1,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,15,1,0,0,0,0,0,0,0,0,1,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,16,1,0,-1,0,0,1,0,0,1,0,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,17,0,-1,1,0,0,1,-1,0,0,-1,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,18,1,1,0,0,0,-1,0,0,0,1,-1,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,2,1,0,0,-1,0,1,0,-1,0,1,-1,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,3,1,1,-1,0,0,0,-1,-1,1,0,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,4,0,1,0,1,-1,-1,0,1,-1,0,1,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,5,0,0,0,0,0,0,-1,-1,0,1,1,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,6,0,-1,0,-1,0,0,-1,0,0,-1,1,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,7,0,0,-1,1,0,0,0,1,-1,1,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,8,1,-1,1,0,0,0,0,0,1,1,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
286,9,1,1,0,0,0,0,0,1,-1,-1,0,Intercultural,C,55,male,5,-360,Pueblo,TRUE,2
146,13,1,0,1,1,0,0,0,-1,1,1,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,17,1,-1,1,0,0,1,-1,0,0,1,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,18,0,1,0,0,0,-1,0,0,0,-1,-1,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,9,0,1,0,0,0,0,0,1,-1,1,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,15,0,0,0,0,0,0,0,0,0,-1,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,10,1,-1,0,1,0,1,-1,1,-1,-1,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
146,12,0,0,0,1,0,-1,1,0,0,0,0,Intercultural,D,40,male,6,4000,Pueblo,FALSE,3
