"RID","Order","Chose_R","Loc.SameValley_Diff","Loc.City_Diff","Wealth.High_Diff","Wealth.Med_Diff","Trust.Med_Diff","Trust.High_Diff","Good.Med_Diff","Good.High_Diff","Relig.Other_Diff","Pueblo.Other_Diff","Population","Version","Age","Sex","School_Yrs","NetIncome"
5,9,1,1,0,0,0,0,0,1,-1,NA,0,"Moseten","C",45,"male",7,970
5,7,0,0,-1,1,0,0,0,1,-1,NA,0,"Moseten","C",45,"male",7,970
5,13,1,0,1,1,0,0,0,-1,1,NA,0,"Moseten","C",45,"male",7,970
5,4,1,1,0,1,-1,-1,0,1,-1,NA,1,"Moseten","C",45,"male",7,970
5,5,0,0,0,0,0,0,-1,-1,0,NA,1,"Moseten","C",45,"male",7,970
5,1,0,0,0,0,0,-1,1,0,1,NA,1,"Moseten","C",45,"male",7,970
5,11,0,1,0,0,-1,0,0,0,1,NA,0,"Moseten","C",45,"male",7,970
6,18,1,1,-1,0,0,0,0,0,1,0,-1,"Intercultural","E",20,"fem",15,4780
6,8,1,0,0,1,0,1,0,1,0,0,-1,"Intercultural","E",20,"fem",15,4780
6,12,0,0,-1,1,-1,1,0,1,0,-1,0,"Intercultural","E",20,"fem",15,4780
6,13,1,0,1,-1,1,0,0,0,-1,-1,1,"Intercultural","E",20,"fem",15,4780
6,16,1,1,0,0,0,1,0,0,0,0,0,"Intercultural","E",20,"fem",15,4780
6,10,1,1,-1,0,0,-1,1,0,0,1,0,"Intercultural","E",20,"fem",15,4780
6,2,1,-1,0,0,-1,-1,1,0,0,1,0,"Intercultural","E",20,"fem",15,4780
6,11,0,1,0,0,-1,0,0,0,1,-1,0,"Intercultural","E",20,"fem",15,4780
6,3,0,0,0,1,-1,-1,1,-1,0,1,0,"Intercultural","E",20,"fem",15,4780
6,6,0,0,-1,1,-1,1,-1,0,0,-1,0,"Intercultural","E",20,"fem",15,4780
6,4,1,0,-1,-1,1,0,0,0,-1,0,0,"Intercultural","E",20,"fem",15,4780
6,7,1,0,1,1,-1,1,-1,0,0,0,0,"Intercultural","E",20,"fem",15,4780
6,1,0,0,1,-1,1,0,1,1,-1,-1,0,"Intercultural","E",20,"fem",15,4780
6,5,1,0,1,0,0,0,0,1,0,-1,0,"Intercultural","E",20,"fem",15,4780
6,9,0,0,0,-1,1,0,0,-1,1,0,1,"Intercultural","E",20,"fem",15,4780
6,17,0,1,-1,0,0,0,0,0,-1,1,0,"Intercultural","E",20,"fem",15,4780
6,14,1,0,0,0,0,0,0,0,0,1,0,"Intercultural","E",20,"fem",15,4780
6,15,1,-1,0,-1,0,0,1,0,0,0,0,"Intercultural","E",20,"fem",15,4780
7,10,0,-1,0,0,0,-1,0,0,0,NA,0,"Intercultural","B",30,"fem",14,3240
7,11,1,0,0,1,-1,0,0,1,-1,NA,0,"Intercultural","B",30,"fem",14,3240
7,1,0,-1,1,1,-1,1,0,0,-1,NA,0,"Intercultural","B",30,"fem",14,3240
7,14,0,1,0,0,0,0,0,-1,1,NA,-1,"Intercultural","B",30,"fem",14,3240
7,15,0,0,0,0,1,1,-1,-1,1,NA,0,"Intercultural","B",30,"fem",14,3240
7,12,0,0,-1,0,1,-1,1,0,-1,NA,0,"Intercultural","B",30,"fem",14,3240
7,13,1,0,0,0,0,0,0,0,0,NA,0,"Intercultural","B",30,"fem",14,3240
7,4,1,0,1,0,0,-1,1,1,-1,NA,0,"Intercultural","B",30,"fem",14,3240
7,5,1,1,0,0,0,0,1,0,1,NA,0,"Intercultural","B",30,"fem",14,3240
7,6,0,0,0,-1,1,-1,1,-1,0,NA,0,"Intercultural","B",30,"fem",14,3240
7,7,0,0,0,0,0,1,-1,0,-1,NA,1,"Intercultural","B",30,"fem",14,3240
7,8,0,-1,1,0,0,0,0,0,-1,NA,0,"Intercultural","B",30,"fem",14,3240
7,9,0,-1,1,0,0,0,-1,1,-1,NA,0,"Intercultural","B",30,"fem",14,3240
7,17,0,-1,0,-1,0,0,1,0,0,NA,0,"Intercultural","B",30,"fem",14,3240
7,18,1,0,0,0,0,0,0,0,0,NA,0,"Intercultural","B",30,"fem",14,3240
7,3,1,1,0,0,0,1,0,0,0,NA,0,"Intercultural","B",30,"fem",14,3240
7,16,0,0,-1,0,0,0,0,-1,0,NA,0,"Intercultural","B",30,"fem",14,3240
7,2,0,-1,1,0,0,-1,1,0,0,NA,0,"Intercultural","B",30,"fem",14,3240
8,16,1,0,-1,0,0,1,0,0,1,0,1,"Intercultural","C",30,"fem",11,3720
8,7,1,0,-1,1,0,0,0,1,-1,-1,0,"Intercultural","C",30,"fem",11,3720
8,17,0,-1,1,0,0,1,-1,0,0,1,0,"Intercultural","C",30,"fem",11,3720
8,10,1,-1,0,1,0,1,-1,1,-1,-1,0,"Intercultural","C",30,"fem",11,3720
8,2,1,0,0,-1,0,1,0,-1,0,-1,0,"Intercultural","C",30,"fem",11,3720
8,3,0,1,-1,0,0,0,-1,-1,1,0,0,"Intercultural","C",30,"fem",11,3720
8,4,1,1,0,1,-1,-1,0,1,-1,0,0,"Intercultural","C",30,"fem",11,3720
8,18,0,1,0,0,0,-1,0,0,0,-1,1,"Intercultural","C",30,"fem",11,3720
8,1,1,0,0,0,0,-1,1,0,1,1,0,"Intercultural","C",30,"fem",11,3720
8,9,0,1,0,0,0,0,0,1,-1,1,0,"Intercultural","C",30,"fem",11,3720
8,13,0,0,1,1,0,0,0,-1,1,1,0,"Intercultural","C",30,"fem",11,3720
8,11,0,1,0,0,-1,0,0,0,1,-1,-1,"Intercultural","C",30,"fem",11,3720
8,12,1,0,0,1,0,-1,1,0,0,0,0,"Intercultural","C",30,"fem",11,3720
8,8,0,-1,1,0,0,0,0,0,1,-1,0,"Intercultural","C",30,"fem",11,3720
8,6,1,-1,0,-1,0,0,-1,0,0,1,-1,"Intercultural","C",30,"fem",11,3720
8,14,1,0,1,0,0,1,-1,-1,1,0,-1,"Intercultural","C",30,"fem",11,3720
8,5,0,0,0,0,0,0,-1,-1,0,-1,-1,"Intercultural","C",30,"fem",11,3720
8,15,0,0,0,0,0,0,0,0,0,-1,-1,"Intercultural","C",30,"fem",11,3720
10,12,1,0,-1,1,-1,1,0,1,0,NA,0,"Intercultural","F",40,"fem",3,600
10,17,1,1,-1,0,0,0,0,0,-1,NA,0,"Intercultural","F",40,"fem",3,600
10,15,1,-1,0,-1,0,0,1,0,0,NA,0,"Intercultural","F",40,"fem",3,600
10,18,1,1,-1,0,0,0,0,0,1,NA,0,"Intercultural","F",40,"fem",3,600
10,6,1,0,-1,1,-1,1,-1,0,0,NA,-1,"Intercultural","F",40,"fem",3,600
10,7,1,0,1,1,-1,1,-1,0,0,NA,-1,"Intercultural","F",40,"fem",3,600
10,16,0,1,0,0,0,1,0,0,0,NA,1,"Intercultural","F",40,"fem",3,600
10,2,1,-1,0,0,-1,-1,1,0,0,NA,0,"Intercultural","F",40,"fem",3,600
10,13,1,0,1,-1,1,0,0,0,-1,NA,1,"Intercultural","F",40,"fem",3,600
10,4,1,0,-1,-1,1,0,0,0,-1,NA,0,"Intercultural","F",40,"fem",3,600
10,5,0,0,1,0,0,0,0,1,0,NA,0,"Intercultural","F",40,"fem",3,600
10,11,1,1,0,0,-1,0,0,0,1,NA,0,"Intercultural","F",40,"fem",3,600
10,14,0,0,0,0,0,0,0,0,0,NA,0,"Intercultural","F",40,"fem",3,600
10,3,1,0,0,1,-1,-1,1,-1,0,NA,0,"Intercultural","F",40,"fem",3,600
10,8,1,0,0,1,0,1,0,1,0,NA,0,"Intercultural","F",40,"fem",3,600
10,1,1,0,1,-1,1,0,1,1,-1,NA,-1,"Intercultural","F",40,"fem",3,600
10,10,0,1,-1,0,0,-1,1,0,0,NA,0,"Intercultural","F",40,"fem",3,600
10,9,1,0,0,-1,1,0,0,-1,1,NA,0,"Intercultural","F",40,"fem",3,600
12,15,0,0,1,0,-1,-1,0,1,-1,-1,-1,"Moseten","G",35,"male",15,2240
12,11,1,0,0,0,0,-1,1,0,1,-1,-1,"Moseten","G",35,"male",15,2240
12,3,0,1,0,1,0,0,-1,0,0,0,1,"Moseten","G",35,"male",15,2240
12,7,0,1,-1,0,0,1,0,-1,0,0,0,"Moseten","G",35,"male",15,2240
12,8,1,0,0,0,0,0,0,0,0,-1,0,"Moseten","G",35,"male",15,2240
